PERMIT_NUMBER,NAICS_CODE,NAICS_DESC,SIC_CODE,SIC_DESC
MA0000132,,,1442,Construction Sand And Gravel
MA0000272,,,4011,"Railroads, Line-Haul Operating"
MA0000311,,,3559,Special Industry Machinery
MA0000469,,,2621,Paper Mills
MA0000531,,,3273,Ready-Mixed Concrete
MA0000671,,,2621,Paper Mills
MA0000787,,,4581,"Airports, Flying Fields, & Services"
MA0000795,,,8221,Colleges And Universities
MA0000817,,,3291,Abrasive Products
MA0000825,,,5171,Petroleum Bulk Stations & Terminals
MA0000833,,,5171,Petroleum Bulk Stations & Terminals
MA0001091,,,5171,Petroleum Bulk Stations & Terminals
MA0001121,,,3341,Secondary Nonferrous Metals
MA0001147,,,2821,Plastics Materials And Resins
MA0001236,,,5171,Petroleum Bulk Stations & Terminals
MA0001261,,,3661,Telephone And Telegraph Apparatus
MA0001350,,,3545,Machine Tool Accessories
MA0001503,,,3081,Unsupported Plastics Film & Sheet
MA0001520,,,4911,Electric Services
MA0001538,,,2221,"Broadwoven Fabric Mills, Manmade"
MA0001716,322120,Paper Mills ,2621,Paper Mills
MA0001791,,,3356,Nonferrous Rolling And Drawing
MA0001830,,,1429,Crushed And Broken Stone
MA0001848,,,2621,Paper Mills
MA0001856,,,4911,Electric Services
MA0001929,,,5191,Farm Supplies
MA0002241,,,4911,Electric Services
MA0003123,,,8412,Museums And Art Galleries
MA0003280,,,5172,Petroleum Products
MA0003298,,,5171,Petroleum Bulk Stations & Terminals
MA0003425,,,5171,Petroleum Bulk Stations & Terminals
MA0003484,,,3731,Ship Building And Repairing
MA0003531,,,2952,Asphalt Felts And Coatings
MA0003557,221113,Nuclear Electric Power Generation,4911,Electric Services
MA0003590,,,4011,"Railroads, Line-Haul Operating"
MA0003654,,,4911,Electric Services
MA0003697,,,2269,Finishing Plants
MA0003824,,,3081,Unsupported Plastics Film & Sheet
MA0003832,,,3421,Cutlery
MA0003891,,,3612,"Transformers, Except Electronic"
MA0003905,,,3724,Aircraft Engines And Engine Parts
MA0003930,,,3675,Electronic Capacitors
MA0003956,,,2899,Chemical Preparations
MA0004006,,,5171,Petroleum Bulk Stations & Terminals
MA0004073,,,2841,Soap And Other Detergents
MA0004081,,,3471,Plating And Polishing
